"REF_DATE","GEO","DGUID","Age at time of death","Sex","Leading causes of death (ICD-10)","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Rank of leading causes of death","Number","223","units","0","v1300174442","1.1.1.100.1","","..","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Rank of leading causes of death","Number","223","units","0","v1300174442","1.1.1.100.1","","..","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Rank of leading causes of death","Number","223","units","0","v1300174442","1.1.1.100.1","","..","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Rank of leading causes of death","Number","223","units","0","v1300174442","1.1.1.100.1","","..","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Rank of leading causes of death","Number","223","units","0","v1300174442","1.1.1.100.1","","..","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Rank of leading causes of death","Number","223","units","0","v1300174442","1.1.1.100.1","","..","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Rank of leading causes of death","Number","223","units","0","v1300174442","1.1.1.100.1","","..","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Rank of leading causes of death","Number","223","units","0","v1300174442","1.1.1.100.1","","..","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Rank of leading causes of death","Number","223","units","0","v1300174442","1.1.1.100.1","","..","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Rank of leading causes of death","Number","223","units","0","v1300174442","1.1.1.100.1","","..","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Rank of leading causes of death","Number","223","units","0","v1300174442","1.1.1.100.1","","..","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Rank of leading causes of death","Number","223","units","0","v1300174442","1.1.1.100.1","","..","","","0"
