#Week 	10YearMean%Positive 	10YearMeanDetections 	95%ConfidenceIntervalOfMeanDetections(errorbars) 	Upper 95th percentile (percent positive) 	Lower 95th percentile (percent positive)
1 	4.88 	160.1 	68.08862 	8.24 	1.53
2 	5.25 	180.4 	75.49765 	8.89 	1.60
3 	5.91 	177.4 	67.59302 	8.91 	2.92
4 	5.92 	171.1 	54.45276 	9.43 	2.41
5 	6.09 	172.6 	42.67162 	9.85 	2.34
6 	6.04 	165.1 	55.94278 	10.08 	1.99
7 	5.86 	153.7 	46.00787 	9.42 	2.30
8 	5.73 	145.5 	35.67592 	8.71 	2.76
9 	5.88 	154.2 	44.27246 	9.69 	2.08
10 	5.78 	152.3 	40.74939 	9.69 	1.88
11 	5.49 	123.6 	40.57975 	8.35 	2.63
12 	5.36 	114.3 	36.44182 	7.81 	2.91
13 	4.88 	95.8 	38.88561 	8.04 	1.71
14 	4.56 	90.0 	37.86259 	7.68 	1.43
15 	4.10 	76.8 	23.80772 	6.47 	1.73
16 	3.79 	64.7 	21.53429 	6.13 	1.44
17 	3.10 	51.2 	14.8015 	4.67 	1.52
18 	2.62 	41.1 	14.43051 	4.48 	0.75
19 	2.19 	31.0 	12.03483 	3.86 	0.52
20 	2.38 	33.1 	10.04334 	3.97 	0.79
21 	1.67 	20.0 	8.165791 	3.06 	0.28
22 	1.12 	13.1 	6.463476 	2.35 	-0.11
23 	1.12 	12.7 	3.919928 	2.02 	0.21
24 	1.01 	10.7 	3.56511 	1.39 	0.63
25 	0.96 	9.2 	4.094816 	1.86 	0.06
26 	0.79 	7.1 	2.692735 	1.73 	-0.15
27 	0.68 	5.8 	2.237413 	1.33 	0.04
28 	0.46 	4.0 	2.220865 	1.13 	-0.21
29 	0.74 	6.4 	2.987728 	1.74 	-0.27
30 	0.50 	4.0 	2.133739 	1.18 	-0.18
31 	0.42 	3.4 	1.415064 	1.09 	-0.26
32 	0.45 	3.4 	2.223237 	1.14 	-0.25
33 	0.34 	2.9 	1.358058 	0.82 	-0.14
34 	0.43 	3.4 	1.573741 	1.15 	-0.29
35 	0.41 	3.4 	1.548247 	1.00 	-0.18
36 	0.28 	2.3 	0.878711 	0.97 	-0.40
37 	0.28 	2.7 	1.271713 	0.73 	-0.18
38 	0.52 	5.8 	3.798489 	1.80 	-0.76
39 	0.44 	5.4 	2.132671 	0.98 	-0.10
40 	0.52 	6.9 	2.873203 	1.00 	0.03
41 	0.38 	5.1 	2.045324 	0.88 	-0.11
42 	0.56 	7.7 	3.291923 	1.44 	-0.32
43 	0.77 	10.6 	6.430355 	2.22 	-0.69
44 	1.05 	14.9 	8.021259 	3.54 	-1.43
45 	1.06 	17.5 	11.04297 	2.91 	-0.78
46 	1.65 	27.8 	14.62716 	4.34 	-1.05
47 	1.57 	27.8 	14.87973 	4.56 	-1.42
48 	2.25 	42.7 	22.05295 	5.34 	-0.85
49 	2.72 	56.0 	29.26457 	6.01 	-0.56
50 	3.20 	73.8 	36.9481 	6.31 	0.09
51 	3.74 	96.3 	47.21931 	6.79 	0.69
52 	4.30 	113.8 	49.34113 	7.49 	1.12
