Epidemiological week 	Influenza A % peak activity 	Influenza B % peak activity 	Endemic coronavirus % peak activity
35 	3% 	1% 	7%
36 	3% 	2% 	5%
37 	3% 	1% 	5%
38 	4% 	1% 	9%
39 	5% 	2% 	7%
40 	5% 	1% 	8%
41 	5% 	1% 	6%
42 	7% 	2% 	9%
43 	9% 	3% 	13%
44 	12% 	3% 	17%
45 	16% 	5% 	17%
46 	21% 	7% 	27%
47 	27% 	9% 	26%
48 	37% 	13% 	37%
49 	48% 	17% 	45%
50 	63% 	26% 	52%
51 	80% 	33% 	61%
52 	100% 	37% 	71%
1 	89% 	39% 	80%
2 	91% 	40% 	86%
3 	84% 	47% 	97%
4 	76% 	56% 	97%
5 	75% 	67% 	100%
6 	71% 	77% 	99%
7 	68% 	79% 	96%
8 	66% 	80% 	94%
9 	67% 	80% 	97%
10 	62% 	82% 	95%
11 	54% 	92% 	90%
12 	48% 	97% 	88%
13 	43% 	98% 	80%
14 	36% 	94% 	75%
15 	31% 	100% 	67%
16 	24% 	99% 	62%
17 	20% 	91% 	51%
18 	15% 	80% 	43%
19 	12% 	71% 	36%
20 	10% 	57% 	39%
21 	7% 	46% 	27%
22 	6% 	31% 	18%
23 	4% 	19% 	18%
24 	4% 	14% 	17%
25 	4% 	10% 	16%
26 	4% 	7% 	13%
27 	4% 	5% 	11%
28 	3% 	3% 	8%
29 	3% 	2% 	12%
30 	3% 	1% 	8%
31 	3% 	2% 	7%
32 	2% 	1% 	7%
33 	3% 	2% 	6%
34 	3% 	1% 	7%
