Surveillance Week 	Western Hospitals 	Central Hospitals 	Eastern Hospitals
35 	0 	0 	0
36 	0 	0 	0
37 	0 	0 	0
38 	0 	0 	0
39 	0 	0 	0
40 	0 	0 	0
41 	3 	0 	0
42 	3 	3 	0
43 	7 	3 	0
44 	18 	3 	0
45 	33 	3 	0
46 	32 	5 	0
47 	28 	7 	0
48 	26 	20 	0
49 	24 	17 	0
50 	23 	29 	3
51 	27 	54 	3
52 	28 	62 	3
1 	19 	70 	3
2 	14 	51 	0
3 	11 	47 	3
4 	8 	54 	3
5 	9 	42 	3
6 	7 	36 	3
7 	7 	35 	3
8 	7 	28 	8
9 	8 	20 	6
10 	18 	21 	5
11 	17 	17 	9
12 	15 	18 	11
13 	8 	14 	7
14 	10 	14 	7
15 	6 	20 	3
16 	15 	19 	3
17 	13 	10 	3
18 	5 	19 	0
19 	6 	13 	0
20 	9 	7 	3
21 	3 	5 	3
22 	3 	7 	0
23 	3 	3 	0
24 	3 	3 	0
25 	3 	3 	0
26 	0 	0 	3
27 	0 	3 	0
28 	0 	0 	0
29 	0 	0 	0
30 	0 	3 	0
31 	0 	0 	0
32 	0 	0 	0
33 	3 	0 	0
34 	0 	0 	0
