#EpidemiologicalWeek 	Parainfluenza%peakactivity 	Rhinovirus/Enterovirus%peakactivity 	EndemicCoronavirus%peakActivity
1 	45 	17 	80
2 	42 	16 	86
3 	40 	14 	97
4 	34 	16 	97
5 	32 	17 	100
6 	32 	18 	99
7 	31 	18 	96
8 	30 	19 	94
9 	33 	21 	97
10 	33 	22 	95
11 	40 	21 	90
12 	45 	24 	88
13 	48 	26 	80
14 	57 	30 	75
15 	59 	31 	67
16 	68 	36 	62
17 	75 	41 	51
18 	76 	43 	43
19 	84 	48 	36
20 	92 	51 	39
21 	98 	57 	27
22 	100 	56 	18
23 	94 	55 	18
24 	97 	61 	17
25 	93 	63 	16
26 	97 	67 	13
27 	88 	66 	11
28 	85 	62 	8
29 	69 	56 	12
30 	69 	53 	8
31 	65 	51 	7
32 	49 	55 	7
33 	51 	54 	6
34 	48 	55 	7
35 	41 	64 	7
36 	35 	71 	5
37 	35 	85 	5
38 	35 	94 	9
39 	35 	100 	7
40 	41 	96 	8
41 	44 	79 	6
42 	53 	77 	9
43 	55 	66 	13
44 	60 	57 	17
45 	59 	54 	17
46 	62 	50 	27
47 	71 	42 	26
48 	62 	35 	37
49 	62 	33 	45
50 	60 	28 	52
51 	52 	26 	61
52 	48 	19 	71
