#EpidemiologicalWeek 	RSV%OfPeakActivity 	hMPV%PeakActivity 	EndemicCoronavirus%PeakActivity
1 	84 	44 	80
2 	79 	43 	86
3 	86 	49 	97
4 	94 	50 	97
5 	100 	55 	100
6 	100 	61 	99
7 	100 	70 	96
8 	96 	76 	94
9 	90 	80 	97
10 	81 	88 	95
11 	82 	91 	90
12 	76 	97 	88
13 	69 	98 	80
14 	63 	100 	75
15 	55 	100 	67
16 	48 	94 	62
17 	43 	89 	51
18 	34 	86 	43
19 	29 	72 	36
20 	24 	74 	39
21 	22 	66 	27
22 	16 	54 	18
23 	15 	47 	18
24 	13 	41 	17
25 	11 	31 	16
26 	8 	28 	13
27 	7 	27 	11
28 	6 	19 	8
29 	5 	14 	12
30 	6 	13 	8
31 	5 	15 	7
32 	4 	9 	7
33 	6 	7 	6
34 	7 	8 	7
35 	6 	12 	7
36 	5 	8 	5
37 	6 	8 	5
38 	5 	7 	9
39 	6 	4 	7
40 	6 	7 	8
41 	9 	8 	6
42 	10 	6 	9
43 	11 	10 	13
44 	16 	9 	17
45 	21 	13 	17
46 	26 	15 	27
47 	35 	18 	26
48 	46 	20 	37
49 	59 	26 	45
50 	66 	31 	52
51 	78 	38 	61
52 	87 	37 	71
