# Peak FracHosp InfectProb Tei Ter RMSError
1 0.0013015427815878194 0.010124343174658624 2.888 10.056 30.563156657075893
2 0.0034828976401918782 0.009046797099501945 2.888 10.056 68.40274340985577
3 0.0023284871686894775 0.009592165897019713 2.888 10.056 53.42122802469019
4 0.0018148610675074916 0.009180359483364481 2.888 10.056 37.819713881815204
5 0.003553058828712779 0.010364321665515699 2.888 10.056 291.42583868803496
6 0.0038283860307757205 0.009663182364994676 2.888 10.056 126.47343079465928
7 0.002734964857030322 0.009695552194613613 2.888 10.056 72.21819678628236
8 0.002211668784048913 0.009954922838050589 2.888 10.056 75.33206651059747
9 0.0017406019583912215 0.00976672684043737 2.888 10.056 50.89415032624102
10 0.008648590918513254 0.007930261161263075 2.888 10.056 192.0235422596688

